timestamp,open,high,low,close,volume_btc,volume_usd
2024-01-01 00:00:00,45011.27,45030.06,44981.56,45024.84,0.562849,25342.19
2024-01-01 00:01:00,45011.81,45022.17,44995.99,45017.92,30.254049,1361974.45
2024-01-01 00:02:00,45038.36,45064.35,45029.55,45050.31,6.036263,271935.5
2024-01-01 00:03:00,45128.67,45137.36,45124.21,45126.46,11.811385,533005.99
2024-01-01 00:04:00,45138.69,45161.05,45099.39,45114.75,24.347812,1098445.48
2024-01-01 00:05:00,45087.62,45112.86,45077.21,45103.04,8.820732,397841.86
2024-01-01 00:06:00,45202.02,45232.01,45164.31,45182.0,26.356957,1190860.16
2024-01-01 00:07:00,45204.74,45243.76,45199.17,45220.38,30.81175,1393318.93
2024-01-01 00:08:00,45179.95,45200.38,45178.8,45196.9,35.098577,1586346.95
2024-01-01 00:09:00,45240.4,45272.91,45220.1,45224.03,26.622322,1203968.7
2024-01-01 00:10:00,45219.3,45231.34,45196.82,45200.86,10.865824,491144.59
2024-01-01 00:11:00,45194.6,45201.32,45151.73,45177.57,50.477592,2280455.12
2024-01-01 00:12:00,45163.36,45198.46,45146.06,45189.67,14.640694,661608.13
2024-01-01 00:13:00,45084.69,45109.7,45078.64,45094.01,10.071025,454142.9
2024-01-01 00:14:00,45024.22,45032.07,44961.36,45007.76,1.472332,66266.36
2024-01-01 00:15:00,44980.48,44981.55,44970.04,44979.65,10.614053,477416.36
2024-01-01 00:16:00,44907.53,44949.09,44886.94,44929.01,6.111647,274590.23
2024-01-01 00:17:00,44953.88,44976.64,44934.42,44944.72,29.488455,1325350.28
2024-01-01 00:18:00,44885.02,44913.7,44876.04,44899.32,9.686441,434914.57
2024-01-01 00:19:00,44864.59,44891.91,44820.55,44828.7,22.205682,995451.88
2024-01-01 00:20:00,44932.88,44966.08,44886.98,44901.98,45.314143,2034694.92
2024-01-01 00:21:00,44902.78,44905.85,44879.55,44890.7,1.609564,72254.43
2024-01-01 00:22:00,44921.29,44923.53,44889.44,44894.07,16.057498,720886.46
2024-01-01 00:23:00,44824.13,44829.17,44816.51,44822.83,30.087871,1348623.66
2024-01-01 00:24:00,44810.92,44824.94,44779.16,44795.61,8.658073,387843.69
2024-01-01 00:25:00,44830.72,44851.34,44797.68,44801.16,13.561057,607551.08
2024-01-01 00:26:00,44748.52,44776.62,44727.94,44743.61,47.44649,2122927.33
2024-01-01 00:27:00,44757.29,44775.8,44721.46,44762.4,3.194992,143015.52
2024-01-01 00:28:00,44698.27,44733.61,44696.79,44732.36,31.366931,1403116.98
